col_0,col_1,col_2,col_3,col_4
hvo,1518,hrzr,2414,4619
pkt,363,tpre,1700,2527
xrm,424,bcvg,2910,4957
hnn,686,yuxu,1376,4259
byf,2288,pxir,2500,3813
mop,307,vhvt,1852,4909
dii,21,wvym,456,2865
xgl,389,mflu,1254,1992
bky,2328,ohad,1235,4554
wcv,862,cyuk,2171,4356
zcd,625,ijsh,1511,2382
xyc,147,lrhw,2465,1254
mfu,1920,ogta,983,3577
bqq,2085,thql,247,1011
kji,2419,zgda,2076,4600
fbk,247,nhix,2959,4400
gyi,2194,btjt,264,2618
hyd,1209,uxpr,166,2126
jqx,285,ccvn,1094,1495
dxf,1074,vtnz,339,959
myf,1692,qqtl,329,4175
lby,873,jkui,1420,2634
nvt,869,gscs,3060,1775
ouw,196,btxf,1673,2895
jvo,1585,imwc,2623,2986
hfv,219,vrzh,291,4565
azu,1637,agmp,3314,4788
ogb,2090,mebm,253,4571
tva,434,fudv,728,1443
scq,358,usck,2305,327
wzg,2490,ovmm,1,1429
kbk,737,vsrc,1718,1845
qzy,1853,uqej,3329,1637
gga,893,ivau,2075,2494
dpt,1202,flrm,3241,3429
qtu,334,fnyq,907,4210
yrm,799,imjo,3263,3300
xog,135,qqmw,2506,3773
qgb,44,tvpm,2182,1178
nxz,519,yizh,70,4119
tjo,484,cagh,1731,4775
nxx,2473,vnpd,2031,4548
eft,1709,qblm,2685,3657
yrj,1653,lzrx,2222,2096
rjr,225,uwsi,2456,1236
cgk,590,anmu,1151,1625
tfk,1858,ymcm,957,3188
ljp,1995,bydh,2364,2809
rfj,1638,flmc,831,3786
hlt,1330,jjfm,2945,1157
moq,1551,clxo,311,4076
qwz,1385,ulcv,3306,4917
lum,291,fhfp,1183,2345
ipj,123,pquh,3296,2596
csp,2156,qosq,298,4819
kyl,130,kaii,265,3931
fle,26,wcfv,1188,1146
izq,32,btny,1351,3273
weq,1203,xldg,2743,3923
gho,1986,dkqy,515,4947
msg,478,zeon,655,4100
qpq,2456,kqgl,23,40
vku,1248,mayw,966,1077
cpo,2381,dwjr,2152,1021
klz,727,hynt,1780,4239
emd,617,mftc,2346,3390
kjs,1385,rizx,1438,1292
das,1975,vajs,133,2410
qfn,501,xrkm,3133,2329
rgv,290,ufpc,2986,2529
nkv,596,knrr,80,3518
ury,1827,skni,104,4189
hzr,158,jwcd,97,1278
hdd,1348,xqam,2940,4131
cec,1637,szzh,997,1543
byk,219,yhqw,438,1643
jai,2071,mjrg,2344,3999
uvp,1745,ytow,2106,3722
wse,1628,mrjo,1294,2979
kgf,525,ngmq,2139,3516
zzm,1456,ftcx,940,4458
idd,1749,whni,3318,2431
wvf,224,pvvd,2305,1468
ejn,1642,jmnv,1388,4762
mwx,354,dwno,1916,3823
yxe,1361,kzcw,2798,1704
ztb,888,kqgl,1281,3488
fkp,1048,xrww,2731,72
qkp,256,cmhb,2858,4254
ogu,1380,uxhm,3196,1957
eta,512,oxal,432,3626
xov,2383,dkqf,809,4497
bwf,1182,xzmg,1640,2604
tgp,1514,yuhs,2902,826
guk,312,ahxd,3152,2996
duu,1928,ayrt,1665,3503
ren,2341,tafr,755,4448
cat,56,fbty,1453,3973
wvb,221,fvaw,1975,1539
aaf,2087,folb,1117,3879
ffj,305,ephc,2767,2834
tsq,243,kbic,2090,604
nrv,2415,vvwz,1544,370
imu,1734,eady,1280,621
duu,559,wjql,2156,1321
oyb,1458,plrp,2290,4608
kpn,1721,mfdt,2645,1074
wgz,1689,xdfc,3256,3385
puw,1771,bgox,1757,4162
dkr,1295,zrpk,2517,4445
mnd,1675,pmmr,3287,956
sjo,206,iyen,2941,3722
nkv,1334,tyam,452,1020
yfl,824,xuel,959,3257
kai,1922,brsu,2455,181
fpj,952,blcg,358,2713
klq,1657,wija,1775,3684
